Date,Time,Open,High,Low,Close
2021-01-14,04:00:00,1.36365,1.36409,1.3634,1.36393
2021-01-14,04:15:00,1.36397,1.36424,1.36374,1.36406
2021-01-14,04:30:00,1.36406,1.36413,1.36358,1.36359
2021-01-14,04:45:00,1.36361,1.36422,1.36359,1.36403
2021-01-14,05:00:00,1.36403,1.3641,1.3634,1.36341
2021-01-14,05:15:00,1.36339,1.36371,1.36317,1.36319
2021-01-14,05:30:00,1.36318,1.36345,1.36275,1.36311
2021-01-14,05:45:00,1.36311,1.36407,1.36309,1.36386
2021-01-14,06:00:00,1.36388,1.36405,1.36331,1.36396
2021-01-14,06:15:00,1.36400,1.36408,1.36292,1.36301
2021-01-14,06:30:00,1.36301,1.3637,1.3629,1.36335
2021-01-14,06:45:00,1.36335,1.36373,1.36335,1.36354
2021-01-14,07:00:00,1.36353,1.36386,1.36277,1.36379
2021-01-14,07:15:00,1.36379,1.36454,1.36318,1.36454
2021-01-14,07:30:00,1.36454,1.36524,1.36391,1.36451
2021-01-14,07:45:00,1.36450,1.36579,1.36393,1.36559
2021-01-14,08:00:00,1.36560,1.36801,1.36515,1.36644
2021-01-14,08:15:00,1.36645,1.36728,1.36612,1.36622
2021-01-14,08:30:00,1.36623,1.36657,1.36553,1.36602
2021-01-14,08:45:00,1.36603,1.36698,1.3654,1.3659
2021-01-14,09:00:00,1.36590,1.36605,1.3649,1.36494
2021-01-14,09:15:00,1.36495,1.36558,1.36352,1.36352
2021-01-14,09:30:00,1.36357,1.36473,1.3633,1.36428
2021-01-14,09:45:00,1.36427,1.36548,1.3642,1.36519
2021-01-14,10:00:00,1.36518,1.3656,1.36462,1.36497
2021-01-14,10:15:00,1.36498,1.36583,1.36498,1.36526
2021-01-14,10:30:00,1.36529,1.36618,1.36484,1.36601
2021-01-14,10:45:00,1.36603,1.36622,1.36499,1.36518
2021-01-14,11:00:00,1.36519,1.36571,1.36484,1.36501
2021-01-14,11:15:00,1.36500,1.3654,1.36415,1.3645
2021-01-14,11:30:00,1.36450,1.36473,1.364,1.36435
2021-01-14,11:45:00,1.36437,1.36489,1.36414,1.36479
2021-01-14,12:00:00,1.36479,1.36564,1.36479,1.36552
2021-01-14,12:15:00,1.36551,1.36577,1.36483,1.36508
2021-01-14,12:30:00,1.36510,1.36569,1.36479,1.365
2021-01-14,12:45:00,1.36499,1.36516,1.3634,1.36354
2021-01-14,13:00:00,1.36356,1.36379,1.36248,1.36304
2021-01-14,13:15:00,1.36307,1.36343,1.36204,1.36235
2021-01-14,13:30:00,1.36238,1.36314,1.36213,1.36308
2021-01-14,13:45:00,1.36307,1.36376,1.3625,1.36268
2021-01-14,14:00:00,1.36268,1.36302,1.36232,1.36268
2021-01-14,14:15:00,1.36266,1.36465,1.36238,1.36451
2021-01-14,14:30:00,1.36449,1.36581,1.36419,1.36521
2021-01-14,14:45:00,1.36525,1.36549,1.36447,1.36505
2021-01-14,15:00:00,1.36506,1.36583,1.36388,1.3654
2021-01-14,15:15:00,1.36550,1.36639,1.36501,1.36621
2021-01-14,15:30:00,1.36621,1.36716,1.36613,1.36631
2021-01-14,15:45:00,1.36630,1.36837,1.36627,1.368
2021-01-14,16:00:00,1.36801,1.36869,1.36676,1.36848
2021-01-14,16:15:00,1.36847,1.36938,1.36808,1.36919
2021-01-14,16:30:00,1.36921,1.36921,1.36787,1.36794
2021-01-14,16:45:00,1.36796,1.36901,1.3676,1.36891
2021-01-14,17:00:00,1.36893,1.36934,1.36803,1.36815
