Date,Time,Open,High,Low,Close,Volume,
2017-01-09 ,"04:00:00	",1.22451,1.22461,1.22372,1.22394,"	1849",
2017-01-09 ,"04:30:00	",1.22392,1.22397,1.22301,1.22307,"	1601",
2017-01-09 ,"05:00:00	",1.22304,1.22316,1.22103,1.22144,"	3201",
2017-01-09 ,"05:30:00	",1.22143,1.22150,1.21801,1.21864,"	3464",
2017-01-09 ,"06:00:00	",1.21865,1.21970,1.21860,1.21940,"	2182",
2017-01-09 ,"06:30:00	",1.2194,1.21961,1.21795,1.21795,"	2708",
2017-01-09 ,"07:00:00	",1.21795,1.21920,1.21643,1.21736,"	4488",
2017-01-09 ,"07:30:00	",1.21737,1.21846,1.21652,1.21824,"	4738",
2017-01-09 ,"08:00:00	",1.21824,1.21916,1.21783,1.21877,"	5290",
2017-01-09 ,"08:30:00	",1.21877,1.21892,1.21713,1.21784,"	4163",
2017-01-09 ,"09:00:00	",1.21787,1.21867,1.21498,1.21527,"	5022",
2017-01-09 ,"09:30:00	",1.2152,1.21580,1.21357,1.21460,"	6014",
2017-01-09 ,"10:00:00	",1.21457,1.21512,1.21239,1.21416,"	5775",
2017-01-09 ,"10:30:00	",1.21417,1.21636,1.21328,1.21589,"	4537",
2017-01-09 ,"11:00:00	",1.21587,1.21802,1.21548,1.21773,"	4150",
2017-01-09 ,"11:30:00	",1.21774,1.21812,1.21646,1.21661,"	5350",
2017-01-09 ,"12:00:00	",1.21661,1.21742,1.21549,1.21672,"	4440",
2017-01-09 ,"12:30:00	",1.21673,1.21720,1.21493,1.21512,"	4702",
2017-01-09 ,"13:00:00	",1.21529,1.21534,1.21252,1.21421,"	4638",
2017-01-09 ,"13:30:00	",1.2142,1.21598,1.21374,1.21374,"	5021",
2017-01-09 ,"14:00:00	",1.21374,1.21549,1.21337,1.21475,"	5166",
2017-01-09 ,"14:30:00	",1.21474,1.21569,1.21285,1.21381,"	6358",
2017-01-09 ,"15:00:00	",1.21381,1.21692,1.21370,1.21691,"	5269",
2017-01-09 ,"15:30:00	",1.21691,1.21745,1.21400,1.21453,"	5367",
2017-01-09 ,"16:00:00	",1.21453,1.21784,1.21453,1.21646,"	6632",
2017-01-09 ,"16:30:00	",1.21651,1.21787,1.21605,1.21648,"	7046",
2017-01-09 ,"17:00:00	",1.21648,1.21669,1.21514,1.21549,"	4379",
2017-01-09 ,"17:30:00	",1.21549,1.21750,1.21546,1.21684,"	4073",
2017-01-09 ,"18:00:00	",1.21685,1.21702,1.21588,1.21618,"	2206",
2017-01-09 ,"18:30:00	",1.21618,1.21659,1.21572,1.21608,"	2501",
2017-01-09 ,"19:00:00	",1.21608,1.21658,1.21580,1.21586,"	2361",
2017-01-09 ,"19:30:00	",1.21588,1.21630,1.21569,1.21629,"	2456",
2017-01-09 ,"20:00:00	",1.21629,1.21644,1.21538,1.21578,"	2519",
2017-01-09 ,"20:30:00	",1.21581,1.21625,1.21538,1.21608,"	2354",
2017-01-09 ,"21:00:00	",1.21606,1.21633,1.21586,1.21608,"	1334",
2017-01-09 ,"21:30:00	",1.21606,1.21650,1.21559,1.21581,"	1627",
2017-01-09 ,"22:00:00	",1.21577,1.21706,1.21574,1.21672,"	960",
2017-01-09 ,"22:30:00	",1.21667,1.21733,1.21642,1.21723,"	884",
2017-01-09 ,"23:00:00	",1.21725,1.21738,1.21635,1.21672,"	3233",
2017-01-09 ,"23:30:00	",1.21673,1.21729,1.21623,1.21699,"	2999",
2017-01-10 ,"00:00:00	",1.217,1.21739,1.21634,1.21669,"	3144",
2017-01-10 ,"00:30:00	",1.21668,1.21704,1.21367,1.21509,"	3272",
2017-01-10 ,"01:00:00	",1.21511,1.21541,1.21459,1.21506,"	2543",
2017-01-10 ,"01:30:00	",1.21504,1.21514,1.21356,1.21369,"	3091",
2017-01-10 ,"02:00:00	",1.21371,1.21556,1.21358,1.21539,"	3305",
2017-01-10 ,"02:30:00	",1.2154,1.21746,1.21529,1.21628,"	5064",
2017-01-10 ,"03:00:00	",1.21626,1.21722,1.21609,1.21684,"	3303",
2017-01-10 ,"03:30:00	",1.21683,1.21799,1.21667,1.21682,"	4249",
2017-01-10 ,"04:00:00	",1.2168,1.21712,1.21601,1.21617,"	3007",
2017-01-10 ,"04:30:00	",1.2162,1.21620,1.21474,1.21487,"	3739",
2017-01-10 ,"05:00:00	",1.21487,1.21546,1.21388,1.21531,"	3437",
2017-01-10 ,"05:30:00	",1.21531,1.21557,1.21483,1.21515,"	3944",
2017-01-10 ,"06:00:00	",1.21512,1.21538,1.21457,1.21509,"	3266",
2017-01-10 ,"06:30:00	",1.21509,1.21514,1.21389,1.21411,"	2772",
2017-01-10 ,"07:00:00	",1.2141,1.21533,1.21284,1.21421,"	4833",
2017-01-10 ,"07:30:00	",1.21421,1.21548,1.21380,1.21471,"	6046",
2017-01-10 ,"08:00:00	",1.21472,1.21480,1.21109,1.21153,"	7931",
2017-01-10 ,"08:30:00	",1.2115,1.21258,1.21069,1.21214,"	5702",
2017-01-10 ,"09:00:00	",1.21216,1.21292,1.21135,1.21269,"	4642",
2017-01-10 ,"09:30:00	",1.21268,1.21521,1.21253,1.21464,"	4874",
2017-01-10 ,"10:00:00	",1.21462,1.21607,1.21407,1.21409,"	4651",
2017-01-10 ,"10:30:00	",1.21409,1.21573,1.21343,1.21535,"	4108",
2017-01-10 ,"11:00:00	",1.21536,1.21590,1.21432,1.21502,"	3441",
2017-01-10 ,"11:30:00	",1.21502,1.21514,1.21321,1.21425,"	4299",
2017-01-10 ,"12:00:00	",1.21425,1.21524,1.21341,1.21513,"	4521",
2017-01-10 ,"12:30:00	",1.21513,1.21543,1.21446,1.21484,"	4929",
2017-01-10 ,"13:00:00	",1.21485,1.21701,1.21425,1.21660,"	4985",
2017-01-10 ,"13:30:00	",1.2166,1.21705,1.21580,1.21648,"	4310",
2017-01-10 ,"14:00:00	",1.21648,1.21703,1.21610,1.21632,"	3863",
2017-01-10 ,"14:30:00	",1.21631,1.21775,1.21581,1.21608,"	6242",
2017-01-10 ,"15:00:00	",1.21608,1.21664,1.21511,1.21585,"	5070",
2017-01-10 ,"15:30:00	",1.21584,1.21843,1.21478,1.21828,"	5820",
2017-01-10 ,"16:00:00	",1.2183,1.21898,1.21632,1.21640,"	6890",
2017-01-10 ,"16:30:00	",1.21641,1.21694,1.21611,1.21635,"	4338",
2017-01-10 ,"17:00:00	",1.21637,1.21685,1.21572,1.21580,"	3275",
2017-01-10 ,"17:30:00	",1.21582,1.21636,1.21489,1.21582,"	3248",
2017-01-10 ,"18:00:00	",1.21582,1.21611,1.21520,1.21523,"	2246",
2017-01-10 ,"18:30:00	",1.21529,1.21674,1.21512,1.21626,"	2435",
2017-01-10 ,"19:00:00	",1.21628,1.21652,1.21552,1.21572,"	1666",
2017-01-10 ,"19:30:00	",1.21571,1.21651,1.21566,1.21648,"	2100",
2017-01-10 ,"20:00:00	",1.21646,1.21656,1.21589,1.21656,"	1349",
2017-01-10 ,"20:30:00	",1.21655,1.21715,1.21611,1.21681,"	2077",
2017-01-10 ,"21:00:00	",1.21688,1.21703,1.21635,1.21688,"	1394",
2017-01-10 ,"21:30:00	",1.21687,1.21804,1.21686,1.21752,"	1930",
2017-01-10 ,"22:00:00	",1.21752,1.21759,1.21704,1.21712,"	313",
2017-01-10 ,"22:30:00	",1.21712,1.21741,1.21679,1.21714,"	481",
2017-01-10 ,"23:00:00	",1.2171,1.21742,1.21699,1.21723,"	945",
2017-01-10 ,"23:30:00	",1.2172,1.21741,1.21710,1.21739,"	1142",
2017-01-11 ,"00:00:00	",1.21739,1.21979,1.21735,1.21843,"	3214",
2017-01-11 ,"00:30:00	",1.21843,1.21886,1.21802,1.21804,"	2562",
2017-01-11 ,"01:00:00	",1.21805,1.21872,1.21728,1.21831,"	3637",
2017-01-11 ,"01:30:00	",1.21832,1.21866,1.21768,1.21783,"	3562",
2017-01-11 ,"02:00:00	",1.21783,1.21825,1.21692,1.21715,"	2977",
2017-01-11 ,"02:30:00	",1.21715,1.21724,1.21649,1.21649,"	2389",
2017-01-11 ,"03:00:00	",1.21649,1.21755,1.21642,1.21751,"	3120",
2017-01-11 ,"03:30:00	",1.21751,1.21758,1.21683,1.21684,"	2402",
2017-01-11 ,"04:00:00	",1.21684,1.21703,1.21610,1.21627,"	2002",
2017-01-11 ,"04:30:00	",1.21633,1.21633,1.21583,1.21598,"	1565",
2017-01-11 ,"05:00:00	",1.21595,1.21615,1.21530,1.21602,"	2510",
2017-01-11 ,"05:30:00	",1.21604,1.21654,1.21571,1.21574,"	2417",
2017-01-11 ,"06:00:00	",1.21575,1.21667,1.21552,1.21588,"	2040",
2017-01-11 ,"06:30:00	",1.21588,1.21631,1.21532,1.21616,"	2635",
2017-01-11 ,"07:00:00	",1.21615,1.21637,1.21485,1.21632,"	3803",
2017-01-11 ,"07:30:00	",1.21635,1.21736,1.21605,1.21613,"	4028",
2017-01-11 ,"08:00:00	",1.21612,1.21653,1.21530,1.21615,"	5670",
2017-01-11 ,"08:30:00	",1.21617,1.21705,1.21530,1.21544,"	4495",
2017-01-11 ,"09:00:00	",1.21544,1.21549,1.21360,1.21529,"	4737",
2017-01-11 ,"09:30:00	",1.21528,1.21648,1.21078,1.21221,"	7725",
2017-01-11 ,"10:00:00	",1.21223,1.21249,1.20957,1.21191,"	5704",
2017-01-11 ,"10:30:00	",1.2119,1.21341,1.21179,1.21305,"	4763",
2017-01-11 ,"11:00:00	",1.21305,1.21481,1.21305,1.21400,"	3730",
2017-01-11 ,"11:30:00	",1.21399,1.21404,1.21239,1.21284,"	3619",
2017-01-11 ,"12:00:00	",1.21278,1.21280,1.21054,1.21154,"	5387",
2017-01-11 ,"12:30:00	",1.21153,1.21295,1.21139,1.21156,"	4533",
2017-01-11 ,"13:00:00	",1.21166,1.21189,1.20964,1.21078,"	5863",
2017-01-11 ,"13:30:00	",1.21078,1.21291,1.21056,1.21275,"	4655",
2017-01-11 ,"14:00:00	",1.21275,1.21307,1.21116,1.21193,"	5073",
2017-01-11 ,"14:30:00	",1.21189,1.21257,1.21003,1.21043,"	5631",
2017-01-11 ,"15:00:00	",1.21044,1.21148,1.20380,1.20507,"	7609",
